# =============================================================================
# Data File: Design D1 Bayesian Optimization Convergence
# Paper: "Electrostrictive Metamaterial Study: Shaping Fields to Exceed Intrinsic Material Limits"
# =============================================================================
# Model: Design1.mph
# Software: COMSOL Multiphysics COMSOL 6.2.0.339
# Date Generated: Oct 30 2025, 18:50
# Table: Objective Probe Table 5 -
# =============================================================================
# Description: Optimization iterations for D1 showing parameter values (t0, theta4, theta5, r2) and objective function. Units: lengths (m), angles (rad).
# =============================================================================
# Columns: t0 (m)                 theta4 (rad)             theta5 (rad)             r2 (m)                   Objective
# =============================================================================
1.0E-4                   1.3962634015954636       1.5707963267948966       2.5E-5                   1.837434319128357E-7
1.45E-4                  1.3962634015954636       1.5707963267948966       2.5E-5                   1.8442124841835143E-7
1.0E-4                   1.7453292519943295       1.5707963267948966       2.5E-5                   1.8508078730133982E-7
1.0E-4                   1.3962634015954636       1.2042771838760873       2.5E-5                   1.8575733599647027E-7
1.0E-4                   1.3962634015954636       1.5707963267948966       4.15E-5                  1.8394346463117278E-7
1.225E-4                 1.5707963267948966       1.3875367553354916       3.325E-5                 1.851027217056808E-7
1.16875E-4               1.5271630954950384       1.4333516482003428       3.11875E-5               1.8460605824232485E-7
1.0E-4                   1.5707963267948966       1.3875367553354918       2.5E-5                   1.843662557182405E-7
1.225E-4                 1.3962634015954636       1.3875367553354918       2.5E-5                   1.8491327366186754E-7
1.0E-4                   1.3962634015954636       1.3875367553354918       3.325E-5                 1.843615107451924E-7
1.0E-4                   1.3962634015954636       1.3875367553354918       2.5E-5                   1.8431581861993187E-7
1.1125000000000003E-4    1.48352986419518         1.2959069696057894       2.9125E-5                1.850632368123356E-7
1.0843750000000003E-4    1.4617132485452509       1.318814416038215        2.809375E-5              1.8502737571778847E-7
1.1125E-4                1.3962634015954636       1.2959069696057897       2.5E-5                   1.8544781236656067E-7
1.0E-4                   1.48352986419518         1.2959069696057897       2.5E-5                   1.849994240070529E-7
1.0E-4                   1.3962634015954636       1.2959069696057897       2.9125E-5                1.8512593153659548E-7
1.0E-4                   1.3962634015954636       1.2959069696057897       2.5E-5                   1.849236204343009E-7
1.0562500000000002E-4    1.4398966328953218       1.250092076740939        2.70625E-5               1.8552757172934891E-7
1.0421875000000001E-4    1.4289883250703572       1.2615457999571515       2.6546875E-5             1.852601908364017E-7
1.0562499999999999E-4    1.3962634015954636       1.2500920767409387       2.5E-5                   1.8556034799546524E-7
1.0E-4                   1.3962634015954636       1.2500920767409387       2.70625E-5               1.8527714724957095E-7
1.0E-4                   1.4398966328953218       1.2500920767409387       2.5E-5                   1.8501433773310852E-7
1.0E-4                   1.3962634015954636       1.2500920767409387       2.5E-5                   1.8526168650595942E-7
1.0281250000000004E-4    1.3526301702956054       1.2271846303085132       2.6031250000000003E-5    1.8586677157274957E-7
1.0421875000000006E-4    1.3089969389957472       1.2157309070923006       2.6546875000000003E-5    1.8629252576293995E-7
1.0492187500000006E-4    1.3526301702956054       1.210004045484194        2.68046875E-5            1.860848648733712E-7
1.0369140625000004E-4    1.36353847812057         1.2200260532983802       2.6353515625E-5          1.8584455680697132E-7
1.0210937500000003E-4    1.3526301702956054       1.210004045484194        2.5773437500000002E-5    1.8606929264398514E-7
1.0492187500000002E-4    1.3526301702956054       1.2329114919166195       2.5773437500000002E-5    1.8575045650380958E-7
1.0210937500000003E-4    1.3526301702956054       1.2329114919166195       2.6804687500000004E-5    1.8567312831641295E-7
1.0210937500000003E-4    1.3526301702956054       1.2329114919166195       2.5773437500000002E-5    1.8570721289530822E-7
1.0457031250000006E-4    1.3308135546456763       1.212867476288247        2.512890625E-5           1.863504839013855E-7
1.0580078125000007E-4    1.3199052468207118       1.2028454684740608       2.4291015625E-5          1.8663215540693756E-7
1.0641601562500008E-4    1.3144510929082294       1.1978344645669678       2.5418945312500007E-5    1.8663148063190695E-7
1.0533935546875007E-4    1.3239958622550734       1.2066037214043808       2.5507568359375004E-5    1.8619884889912215E-7
1.0500976562500008E-4    1.3144510929082294       1.2092881877831807       2.54189453125E-5         1.8633698356047453E-7
1.0395507812500006E-4    1.3362677085581585       1.2064247569791273       2.5032226562500003E-5    1.8627198979259414E-7
1.0536132812500005E-4    1.3362677085581585       1.2178784801953402       2.5032226562500003E-5    1.8623551175007663E-7
1.0395507812500006E-4    1.3362677085581585       1.2178784801953402       2.5032226562500003E-5    1.8607987580010603E-7
1.0610839843750006E-4    1.3171781698644704       1.2003399665205143       2.485498046875E-5        1.867078676958184E-7
1.0718505859375006E-4    1.3076334005176264       1.1915707096831014       2.4766357421874995E-5    1.8682365433473077E-7
1.0561401367187507E-4    1.3028610158442044       1.187186081264395        2.4722045898437498E-5    1.867926787514038E-7
1.0555084228515631E-4    1.311212689022693        1.1948591809971314       2.4799591064453123E-5    1.8673935570125067E-7
