# =============================================================================
# Data File: Design D2 Bayesian Optimization Convergence
# Paper: "Electrostrictive Metamaterial Study: Shaping Fields to Exceed Intrinsic Material Limits"
# =============================================================================
# Model: Design2.mph
# Software: COMSOL Multiphysics COMSOL 6.2.0.339
# Date Generated: Oct 30 2025, 18:42
# Table: Objective Probe Table 5 -
# =============================================================================
# Description: Optimization iterations for D2 showing parameter values and objective function. Units: lengths (m), angles (rad).
# =============================================================================
# Columns: r2 (m)                                          t0 (m)                                            theta1 (rad)                                      theta2 (rad)                                      theta4 (rad)                                      theta5 (rad)                                      Objective                                         Domain Probe 1 (avg disp)                         Domain Probe 2 (max disp)                         Domain Probe 3 (avg elec strain)
# =============================================================================
2.5E-5                                            1.0E-4                                            0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.325625776767344E-5                              9.835498775989942E-8                              2.156879396010785E-7                              4.294221484031246E-5
4.15E-5                                           1.0E-4                                            0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.3851880477525806E-5                             1.0102690207883723E-7                             2.165050063064431E-7                              4.353434856914053E-5
2.5E-5                                            1.45E-4                                           0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.723403730333919E-5                              9.379907873178813E-8                              2.0649495862220542E-7                             4.693374326598521E-5
2.5E-5                                            1.0E-4                                            0.5235987755982988                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.256991324311152E-5                              1.0025636904855985E-7                             2.1644910681587616E-7                             4.2253207767247095E-5
2.5E-5                                            1.0E-4                                            0.3490658503988659                                1.0471975511965976                                1.3962634015954636                                1.5707963267948966                                4.1018252866846846E-5                             1.0532937691609857E-7                             2.2450818824276828E-7                             4.068841530168797E-5
2.5E-5                                            1.0E-4                                            0.3490658503988659                                1.2217304763960306                                1.7453292519943295                                1.5707963267948966                                4.3942557578685704E-5                             9.896387938680473E-8                              2.2183177284212796E-7                             4.362176192645678E-5
2.5E-5                                            1.0E-4                                            0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.2042771838760873                                4.3499717456440115E-5                             1.0084655382708598E-7                             2.1711933415164428E-7                             4.318175156846138E-5
3.0499999999999996E-5                             1.1500000000000002E-4                             0.40724349213201017                               1.3962634015954636                                1.5126186850617518                                1.4486232791552935                                4.709817177491823E-5                              8.872421949506048E-8                              1.9982459912324446E-7                             4.680962295629993E-5
2.9125E-5                                         1.1125000000000001E-4                             0.3926990816987241                                1.308996938995747                                 1.4835298641951797                                1.4791665410651944                                4.571705427767037E-5                              9.377560376999915E-8                              2.0833521377675174E-7                             4.5414943460123634E-5
2.5E-5                                            1.225E-4                                          0.3490658503988659                                1.2217304763960306                                1.5707963267948966                                1.5707963267948966                                4.584858616918658E-5                              9.52096235089597E-8                               2.1279733558172653E-7                             4.554057921009591E-5
3.325E-5                                          1.225E-4                                          0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.575424067692688E-5                              9.693217534848125E-8                              2.1077445294558E-7                                4.544653404863282E-5
2.5E-5                                            1.225E-4                                          0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.3875367553354918                                4.5649706643874854E-5                             9.608373425534792E-8                              2.109786835639596E-7                              4.534264422605554E-5
2.5E-5                                            1.225E-4                                          0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.5461852067737145E-5                             9.563555983576528E-8                              2.1046617732535595E-7                             4.515575033057603E-5
2.5E-5                                            1.225E-4                                          0.4363323129985824                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.509824352504436E-5                              9.676586930302272E-8                              2.1087629060667717E-7                             4.479060136513468E-5
2.5E-5                                            1.225E-4                                          0.3490658503988659                                1.1344640137963142                                1.3962634015954636                                1.5707963267948966                                4.4525057038693306E-5                             9.93460402668566E-8                               2.1546680535420926E-7                             4.421024419307225E-5
2.7750000000000007E-5                             1.3000000000000002E-4                             0.3781546712654381                                1.308996938995747                                 1.4544410433286077                                1.5097098029750948                                4.714058358135084E-5                              9.139001008682015E-8                              2.0382946569566158E-7                             4.684536410556838E-5
2.70625E-5                                        1.28125E-4                                        0.37088246604879505                               1.2653637076958888                                1.4398966328953218                                1.5249814339300451                                4.652394778058992E-5                              9.38100299264275E-8                               2.0740631353429128E-7                             4.62227314371292E-5
2.5E-5                                            1.3375000000000003E-4                             0.3490658503988659                                1.2217304763960306                                1.48352986419518                                  1.5707963267948966                                4.659317159688589E-5                              9.427795661421286E-8                              2.0937792990117581E-7                             4.628951571037051E-5
2.9125E-5                                         1.3375000000000003E-4                             0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.653032682069672E-5                              9.523311520472409E-8                              2.0841854999060216E-7                             4.622667515550138E-5
2.5E-5                                            1.3375000000000003E-4                             0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.4791665410651944                                4.649442538264276E-5                              9.482027455043053E-8                              2.0857613623825718E-7                             4.6191028971854076E-5
2.5E-5                                            1.3375000000000003E-4                             0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.638841965382139E-5                              9.464549438442114E-8                              2.0838781241041084E-7                             4.6085386347026565E-5
2.5E-5                                            1.3375000000000003E-4                             0.39269908169872414                               1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.6209472309267086E-5                             9.52277994897354E-8                               2.0848297979106623E-7                             4.590576152998629E-5
2.5E-5                                            1.3375000000000003E-4                             0.3490658503988659                                1.1780972450961724                                1.3962634015954636                                1.5707963267948966                                4.596348252176144E-5                              9.656167247329726E-8                              2.1097192446338248E-7                             4.565594892482476E-5
2.6375E-5                                         1.375E-4                                          0.36361026083215203                               1.2653637076958888                                1.4253522224620354                                1.5402530648849955                                4.7181211298089575E-5                             9.255335560646562E-8                              2.0509777069045357E-7                             4.6883560171792664E-5
2.603125E-5                                       1.365625E-4                                       0.3599741582238305                                1.2435470920459597                                1.4180800172453925                                1.5478888803624706                                4.6882952609408344E-5                             9.365409489308651E-8                              2.067372653444657E-7                              4.65825612491708E-5
2.5E-5                                            1.39375E-4                                        0.3490658503988659                                1.2217304763960306                                1.4398966328953218                                1.5707963267948966                                4.692828250281873E-5                              9.399835624554695E-8                              2.0789952234333815E-7                             4.6626384624229856E-5
2.70625E-5                                        1.39375E-4                                        0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.689111335560766E-5                              9.458939156381421E-8                              2.0751251004853624E-7                             4.658901145399532E-5
2.5E-5                                            1.39375E-4                                        0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5249814339300456                                4.687542610611515E-5                              9.424114557288086E-8                              2.0738747159412155E-7                             4.657379748894813E-5
2.5E-5                                            1.39375E-4                                        0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.68181228356924E-5                               9.426292538974074E-8                              2.0736150445607716E-7                             4.651649840584659E-5
2.5E-5                                            1.39375E-4                                        0.370882466048795                                 1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.6730886537939524E-5                             9.458490224559806E-8                              2.0745010102390466E-7                             4.642885153467004E-5
2.5E-5                                            1.39375E-4                                        0.3490658503988659                                1.1999138607461015                                1.3962634015954636                                1.5707963267948966                                4.66183965588471E-5                               9.511890552773393E-8                              2.0856130962507076E-7                             4.631471634369427E-5
2.5687499999999998E-5                             1.4125E-4                                         0.35633805561550896                               1.2435470920459597                                1.4108078120287495                                1.555524695839946                                 4.7206931316390884E-5                             9.324361400375573E-8                              2.0582708750682664E-7                             4.6907860614880294E-5
2.5515625E-5                                      1.4078125E-4                                      0.35452000431134817                               1.2326387842209952                                1.4071717094204281                                1.5593426035786837                                4.7060170087518424E-5                             9.374757615664805E-8                              2.0656200632472195E-7                             4.6759860505037056E-5
2.5E-5                                            1.421875E-4                                       0.3490658503988659                                1.2217304763960306                                1.4180800172453927                                1.5707963267948966                                4.7083610925027306E-5                             9.394237219818012E-8                              2.0717550477273313E-7                             4.678249304805638E-5
2.603125E-5                                       1.421875E-4                                       0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.7062622414723065E-5                             9.413178377596104E-8                              2.0689761222914586E-7                             4.676159301871797E-5
2.5E-5                                            1.421875E-4                                       0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.547888880362471                                 4.705704878850241E-5                              9.403958622492577E-8                              2.068932137397981E-7                              4.675611598853769E-5
2.5E-5                                            1.421875E-4                                       0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.7027769089150244E-5                             9.406955913285324E-8                              2.0686253161645643E-7                             4.6726836998400926E-5
2.5E-5                                            1.421875E-4                                       0.3599741582238305                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.698551301190339E-5                              9.419283343271024E-8                              2.069122501337195E-7                              4.668440792833695E-5
2.5E-5                                            1.421875E-4                                       0.3490658503988659                                1.210822168571066                                 1.3962634015954636                                1.5707963267948966                                4.693029297568331E-5                              9.455394869534479E-8                              2.0756532138287493E-7                             4.66281737056051E-5
